207.3815,0.0082,207.6707,-0.0626
207.4793,0.018,207.6653,-0.0685
207.6193,0.0121,207.6634,-0.0698
207.7329,0.0015,207.6645,-0.0675
207.7858,0.0017,207.6669,-0.0634
207.5929,-0.0166,207.6644,-0.0659
207.3868,0.0153,207.6568,-0.0747
207.9707,-0.0019,207.6639,-0.0645
207.688,0.0107,207.6639,-0.0635
207.8175,0,207.6672,-0.0584
207.6457,0.0082,207.6661,-0.0589
207.6378,0.0043,207.6648,-0.0596
207.3815,0.01,207.6571,-0.0686
207.688,0.0015,207.6572,-0.0675
207.7858,-0.0044,207.6598,-0.0633
207.6352,-0.0062,207.6585,-0.0641
207.6193,0.0126,207.6569,-0.0652
207.8016,0.0153,207.6599,-0.0602
207.5453,0.0034,207.6565,-0.0638
207.7514,0.0015,207.6582,-0.0606
207.7092,0.0122,207.6589,-0.0587
207.9258,-0.0059,207.665,-0.05
207.7646,-0.0118,207.6671,-0.0467
207.7065,0.003,207.6676,-0.0452
207.4,0.0174,207.6604,-0.0536
207.363,0.0074,207.6525,-0.063
207.7937,0.0074,207.6554,-0.0582
207.6378,0.0159,207.6544,-0.0585
207.3207,0.0221,207.6454,-0.069
207.4951,-0.0042,207.641,-0.0739
207.6325,0.0097,207.6401,-0.0741
207.5585,-0.0069,207.6373,-0.0768
207.7409,-0.0037,207.6392,-0.0734
207.6986,-0.0161,207.6399,-0.0716
207.7778,0.0057,207.6427,-0.0671
207.7409,-0.0006,207.6445,-0.0639
207.6272,0.011,207.6435,-0.0642
207.334,-0.0128,207.6351,-0.0743
207.5295,0.0127,207.6317,-0.0776
207.3128,0.0128,207.6229,-0.0878
207.7514,0.0002,207.6253,-0.0837
207.7858,0.0128,207.6285,-0.0784
207.7778,-0.0086,207.6315,-0.0737
207.7435,-0.0092,207.6336,-0.0701
207.2467,-0.0079,207.6232,-0.0827
207.5665,-0.0141,207.621,-0.0847
207.622,-0.0061,207.6202,-0.0848
207.8703,-0.0033,207.6256,-0.0768
207.8228,0.0056,207.6298,-0.0703
207.7911,0.0208,207.6332,-0.0648
207.6114,0.0106,207.632,-0.0653
207.7911,0.0125,207.6354,-0.06
207.4687,0.0151,207.6306,-0.0652
207.2573,0.0107,207.6206,-0.0771
207.2943,0.0049,207.6116,-0.0876
207.873,0.0123,207.6174,-0.0791
207.2309,-0.0094,207.6069,-0.0917
207.7171,-0.0047,207.6088,-0.0883
207.7594,0.0165,207.6117,-0.0833
207.5929,0.0163,207.6104,-0.0838
207.8598,-0.0093,207.6158,-0.0759
207.6695,0.0082,207.6164,-0.074
207.5638,-0.0078,207.6144,-0.0758
207.6114,-0.0084,207.6136,-0.076
207.622,0.0065,207.613,-0.0756
207.3709,-0.0056,207.6062,-0.0835
207.2124,0.0197,207.5955,-0.0961
207.3234,-0.0057,207.5878,-0.1051
207.5903,0.0143,207.5868,-0.1051
207.8545,0.0083,207.5925,-0.0965
207.5453,-0.0232,207.5904,-0.0984
207.8096,-0.0151,207.5949,-0.0915
207.4608,0.0153,207.5906,-0.0958
207.5903,0.0153,207.5897,-0.0958
207.585,-0.0147,207.5886,-0.0962
207.659,0.0139,207.5895,-0.0939
207.5823,0.0223,207.5884,-0.094
207.5295,0.0083,207.586,-0.0959
207.2309,0.0184,207.5761,-0.1073
207.3736,-0.0035,207.57,-0.1141
207.9575,0.0205,207.5786,-0.1016
207.8915,0.0129,207.5855,-0.0914
207.6695,0.0304,207.5867,-0.0885
207.3894,0.0196,207.5809,-0.0947
207.1648,-0.01,207.5695,-0.1084
207.2679,0.0068,207.5609,-0.1183
207.8624,-0.0106,207.5673,-0.1089
207.7937,0.0195,207.5719,-0.1015
207.5506,0.0068,207.5704,-0.1023
207.6695,0.0104,207.5719,-0.0991
207.651,0.0287,207.5729,-0.0964
207.725,0.0075,207.5758,-0.0915
207.8545,0.0174,207.5819,-0.0823
207.7092,-0.0008,207.5843,-0.0782
207.3102,-0.0148,207.5766,-0.0873
207.7092,0.0241,207.5791,-0.0828
207.1886,0.0059,207.5685,-0.0954
207.9364,0.0061,207.5768,-0.0835
207.3894,0.0292,207.5713,-0.0893
207.4423,0.0258,207.5672,-0.0933
207.6801,-0.0099,207.5691,-0.0898
207.6642,0.0159,207.5706,-0.0867
207.6722,-0.0033,207.5723,-0.0834
207.622,-0.0104,207.5727,-0.082
207.6457,-0.004,207.5738,-0.0797
207.6114,0.0059,207.5739,-0.0784
207.6431,0.0017,207.5749,-0.0761
207.5638,-0.006,207.5739,-0.0765
207.7726,0.0194,207.5781,-0.0699
207.6378,-0.0123,207.5789,-0.068
207.7937,0.0122,207.5837,-0.0608
207.688,0.0047,207.5857,-0.0573
207.651,0.0029,207.5868,-0.055
207.7409,0.0232,207.5901,-0.0497
207.6827,-0.0067,207.5919,-0.0466
207.7488,-0.0025,207.5954,-0.0413
207.2388,0.0032,207.5861,-0.0526
207.6008,0.0145,207.586,-0.0519
207.3234,0.0203,207.5789,-0.06
207.7911,-0.0078,207.5836,-0.0531
207.7594,0.0078,207.5875,-0.0472
207.6431,-0.0008,207.5884,-0.0452
207.7092,0.007,207.591,-0.041
207.6827,-0.0174,207.5929,-0.038
207.2917,0.0014,207.585,-0.0476
207.9047,0.0065,207.5926,-0.037
207.5295,0.0103,207.5906,-0.0387
207.5665,0.0011,207.5896,-0.0392
207.5744,0.0156,207.5889,-0.0393
