321.3507,0.0414,321.4267,-0.0775
321.3296,0.0293,321.4235,-0.081
321.4723,0.0351,321.424,-0.0798
321.4141,0.0268,321.4229,-0.0805
321.5198,0.0292,321.4246,-0.0778
321.4141,0.0324,321.4235,-0.0785
321.2688,0.0279,321.4189,-0.0839
321.3613,0.0246,321.4166,-0.0862
321.5462,0.0258,321.419,-0.0825
321.4643,0.0378,321.4193,-0.0813
321.2477,0.0251,321.4142,-0.0873
321.4643,0.0214,321.4146,-0.0862
321.5964,0.0268,321.4183,-0.0807
321.4828,0.0323,321.4192,-0.079
321.2899,0.0299,321.4151,-0.0835
321.5119,0.0246,321.4167,-0.0808
321.4749,0.0265,321.4174,-0.0793
321.6202,0.0227,321.4217,-0.0732
321.5198,0.0409,321.4234,-0.0702
321.5198,0.0246,321.4252,-0.0674
321.5462,0.0417,321.4276,-0.0637
321.3032,0.0344,321.4238,-0.0679
321.5013,0.0369,321.4251,-0.0656
321.4141,0.0246,321.4242,-0.0663
321.4036,0.0239,321.423,-0.0672
321.5251,0.0283,321.4249,-0.0642
321.2556,0.0358,321.42,-0.0699
321.5621,0.0176,321.4229,-0.0657
321.4036,0.0203,321.4218,-0.0667
321.4908,0.0266,321.4229,-0.0647
321.6546,0.0264,321.428,-0.0575
321.3639,0.036,321.4259,-0.0597
321.5383,0.0244,321.4281,-0.0563
321.3666,0.0249,321.426,-0.0585
321.4855,0.0251,321.4269,-0.0568
321.3639,0.0225,321.4248,-0.0591
321.6123,0.0394,321.4289,-0.0532
321.4221,0.0369,321.4283,-0.0535
321.57,0.0272,321.4313,-0.0491
321.0918,0.0331,321.4223,-0.0602
321.5594,0.0391,321.4251,-0.0558
321.3771,0.0336,321.4234,-0.0575
321.0389,0.0319,321.4131,-0.0702
321.5172,0.0255,321.4151,-0.0671
321.6255,0.0305,321.4197,-0.0605
321.3111,0.026,321.4164,-0.0642
321.5859,0.0325,321.42,-0.0589
321.0231,0.0339,321.4095,-0.072
321.3798,0.0291,321.408,-0.0732
321.4828,0.0328,321.4092,-0.071
321.5462,0.0364,321.4119,-0.0667
321.2926,0.0358,321.4083,-0.0708
321.5859,0.0295,321.412,-0.0653
321.0812,0.0205,321.4031,-0.0763
321.6149,0.0345,321.4077,-0.0697
321.5277,0.0322,321.41,-0.066
321.4379,0.022,321.41,-0.0654
321.4934,0.0332,321.4115,-0.0628
321.7259,0.0224,321.4188,-0.0529
321.1684,0.0404,321.412,-0.061
321.1076,0.0288,321.4037,-0.0711
320.9808,0.0374,321.3925,-0.085
321.6334,0.0315,321.3977,-0.0775
321.4855,0.0232,321.3991,-0.0749
321.5383,0.0241,321.4019,-0.0707
321.2054,0.0312,321.3963,-0.0773
321.4458,0.0201,321.3968,-0.0761
321.1499,0.0345,321.3898,-0.0843
321.4643,0.0329,321.3909,-0.0822
321.5251,0.0266,321.3934,-0.0781
321.4643,0.0247,321.3944,-0.0761
321.5991,0.03,321.3988,-0.0697
321.3771,0.0218,321.3976,-0.0707
