128 127 17920
450 449 18432
343 342 22528
474 473 23040
153 152 23552
126 125 27136
46 45 27648
177 176 28160
368 367 28160
341 340 31744
261 260 32256
71 70 33280
425 424 35840
345 344 36352
509 508 39936
128 127 40960
48 47 41472
212 211 45056
132 131 45568
454 453 46080
427 426 49664
347 346 50176
511 510 53760
431 430 54272
214 213 58880
134 133 59392
429 428 63488
42 41 80384
3 2 81920
87 86 86016
302 301 90624
128 127 98304
89 88 99840
214 213 116224
298 297 120320
343 342 125952
46 45 131072
345 344 139776
144 143 151040
3 2 162304
87 86 166400
302 301 171008
128 127 178688
89 88 180224
214 213 196608
298 297 200704
343 342 206336
46 45 211456
345 344 220160
171 170 227840
42 41 241152
3 2 242688
87 86 246784
302 301 251392
128 127 259072
89 88 260608
214 213 276992
298 297 281088
343 342 286720
46 45 291840
345 344 300544
171 170 308224
162 161 321024
3 2 323072
87 86 327168
302 301 331776
128 127 339456
89 88 340992
343 342 367104
46 45 372224
345 344 380928
171 170 388608
3 2 403456
302 301 412160
128 127 419840
89 88 421376
214 213 437760
298 297 441856
343 342 447488
46 45 452608
345 344 461312
171 170 468992
42 41 482304
3 2 483840
87 86 487936
302 301 492544
128 127 500224
89 88 501760
474 473 505344
214 213 518144
298 297 522240
343 342 527872
46 45 532992
345 344 541696
171 170 549376
42 41 562688
3 2 564224
87 86 568320
302 301 572928
128 127 580608
89 88 582144
214 213 598528
298 297 602624
343 342 608256
46 45 613376
345 344 622080
171 170 629760
42 41 643072
3 2 644608
302 301 653312
128 127 660992
89 88 662528
214 213 678912
298 297 683008
191 190 687104
343 342 688640
46 45 693760
345 344 702464
171 170 710144
42 41 723456
3 2 724992
87 86 729088
302 301 733696
128 127 741376
89 88 742912
214 213 759296
298 297 763392
343 342 769024
46 45 774144
345 344 782848
171 170 790528
42 41 803840
3 2 805376
87 86 809472
302 301 814080
128 127 821760
89 88 823296
214 213 839680
298 297 843776
85 84 852992
46 45 854528
345 344 863232
171 170 870912
42 41 884224
3 2 885760
136 135 888320
87 86 889856
302 301 894464
128 127 902144
89 88 903680
214 213 920064
298 297 924160
343 342 929792
46 45 934912
345 344 943616
171 170 951296
3 2 966144
302 301 974848
128 127 982528
89 88 984064
214 213 1000448
298 297 1004544
343 342 1010176
46 45 1015296
345 344 1024000
3 2 1046528
87 86 1050624
302 301 1055232
128 127 1062912
89 88 1064448
214 213 1080832
298 297 1084928
343 342 1090560
46 45 1095680
40 39 1100288
345 344 1104384
171 170 1112064
300 299 1121792
3 2 1126912
87 86 1131008
302 301 1135616
128 127 1143296
89 88 1144832
214 213 1161216
298 297 1165312
343 342 1170944
46 45 1176064
345 344 1184768
171 170 1192448
42 41 1205760
3 2 1207296
87 86 1211392
302 301 1216000
128 127 1223680
89 88 1225216
214 213 1241600
298 297 1245696
443 442 1250816
85 84 1254912
46 45 1256448
230 229 1260032
345 344 1265152
171 170 1272832
42 41 1286144
3 2 1287680
87 86 1291776
302 301 1296384
296 295 1300992
89 88 1305600
83 82 1310208
382 381 1318912
214 213 1321984
298 297 1326080
85 84 1335296
46 45 1336832
345 344 1345536
42 41 1366528
3 2 1368064
87 86 1372160
302 301 1376768
128 127 1384448
89 88 1385984
214 213 1402368
298 297 1406464
143 142 1413120
85 84 1415680
46 45 1417216
345 344 1425920
171 170 1433600
400 399 1442816
411 410 1443840
42 41 1446912
3 2 1448448
87 86 1452544
209 208 1454080
302 301 1457152
486 485 1460736
128 127 1464832
89 88 1466368
273 272 1469952
71 70 1480192
214 213 1482752
298 297 1486848
253 252 1492992
85 84 1496064
46 45 1497600
40 39 1502208
51 50 1503232
345 344 1506304
171 170 1513984
126 125 1520128
137 136 1521152
42 41 1527296
3 2 1528832
87 86 1532928
302 301 1537536
504 0 1538560
128 127 1545216
89 88 1546752
214 213 1563136
298 297 1567232
343 342 1572864
46 45 1577984
431 430 1581568
345 344 1586688
430 429 1591808
171 170 1594368
42 41 1607680
3 2 1609216
87 86 1613312
302 301 1617920
186 185 1623040
128 127 1625600
89 88 1627136
101 100 1629184
214 213 1643520
187 186 1647104
298 297 1647616
343 342 1653248
465 464 1654784
46 45 1658368
252 251 1664000
345 344 1667072
171 170 1674752
210 209 1684992
42 41 1688064
3 2 1689600
8 7 1695232
302 301 1698304
89 88 1707520
211 210 1709056
510 509 1717760
382 381 1720832
214 213 1723904
297 296 1726976
298 297 1728000
343 342 1733632
46 45 1738752
345 344 1747456
266 265 1748992
171 170 1755136
42 41 1768448
3 2 1769984
87 86 1774080
302 301 1778688
175 174 1782784
89 88 1787904
454 453 1791488
259 258 1809920
301 300 1811968
343 342 1814016
154 153 1816064
46 45 1819136
411 410 1822720
511 0 1826304
345 344 1827840
282 281 1836032
144 143 1839104
497 496 1840640
27 26 1843200
3 2 1850368
87 86 1854464
209 208 1856000
302 301 1859072
239 238 1867264
89 88 1868288
454 453 1871872
295 294 1873920
82 81 1883136
259 258 1890304
381 380 1891840
46 45 1899520
168 167 1901056
411 410 1903104
345 344 1908224
282 281 1916416
3 2 1930752
368 367 1934336
472 471 1938432
302 301 1939456
89 88 1948672
454 453 1952256
325 324 1965568
259 258 1970688
343 342 1974784
46 45 1979904
411 410 1983488
345 344 1988608
87 86 2015232
302 301 2019840
89 88 2029056
259 258 2051072
46 45 2060288
411 410 2063872
345 344 2068992
497 496 2081792
3 2 2091520
87 86 2095616
302 301 2100224
239 238 2108416
89 88 2109440
454 453 2113024
325 324 2126336
259 258 2131456
392 391 2134016
343 342 2135552
46 45 2140672
411 410 2144256
345 344 2149376
282 281 2157568
497 496 2162176
3 2 2171904
302 301 2180608
89 88 2189824
454 453 2193408
259 258 2211840
343 342 2215936
46 45 2221056
411 410 2224640
345 344 2229760
282 281 2237952
497 496 2242560
3 2 2252288
87 86 2256384
302 301 2260992
89 88 2270208
325 324 2287104
259 258 2292224
343 342 2296320
46 45 2301440
411 410 2305024
345 344 2310144
282 281 2318336
497 496 2322944
3 2 2332672
87 86 2336768
472 471 2340352
302 301 2341376
239 238 2349568
89 88 2350592
454 453 2354176
325 324 2367488
259 258 2372608
46 45 2381824
411 410 2385408
345 344 2390528
282 281 2398720
497 496 2403328
3 2 2413056
87 86 2417152
302 301 2421760
89 88 2430976
454 453 2434560
259 258 2452992
343 342 2457088
15 14 2461184
46 45 2462208
345 344 2470912
282 281 2479104
497 496 2483712
3 2 2493440
302 301 2502144
239 238 2510336
89 88 2511360
454 453 2514944
259 258 2533376
343 342 2537472
46 45 2542592
345 344 2551296
282 281 2559488
497 496 2564096
3 2 2573824
87 86 2577920
302 301 2582528
89 88 2591744
454 453 2595328
259 258 2613760
343 342 2617856
46 45 2622976
411 410 2626560
345 344 2631680
282 281 2639872
3 2 2654208
368 367 2657792
302 301 2662912
89 88 2672128
259 258 2694144
343 342 2698240
46 45 2703360
411 410 2706944
345 344 2712064
282 281 2720256
3 2 2734592
87 86 2738688
302 301 2743296
89 88 2752512
259 258 2774528
392 391 2777088
343 342 2778624
46 45 2783744
411 410 2787328
345 344 2792448
282 281 2800640
3 2 2814976
87 86 2819072
302 301 2823680
89 88 2832896
454 453 2836480
325 324 2849792
259 258 2854912
343 342 2859008
46 45 2864128
459 458 2865152
411 410 2867712
345 344 2872832
282 281 2881024
497 496 2885632
3 2 2895360
368 367 2898944
302 301 2904064
89 88 2913280
454 453 2916864
325 324 2930176
259 258 2935296
46 45 2944512
345 344 2953216
282 281 2961408
3 2 2975744
302 301 2984448
89 88 2993664
325 324 3010560
259 258 3015680
46 45 3024896
345 344 3033600
282 281 3041792
497 496 3046400
3 2 3056128
87 86 3060224
302 301 3064832
239 238 3073024
89 88 3074048
454 453 3077632
325 324 3090944
259 258 3096064
46 45 3105280
345 344 3113984
156 155 3116032
497 496 3126784
3 2 3136512
87 86 3140608
302 301 3145216
89 88 3154432
454 453 3158016
325 324 3171328
259 258 3176448
46 45 3185664
411 410 3189248
345 344 3194368
282 281 3202560
3 2 3216896
87 86 3220992
302 301 3225600
89 88 3234816
261 260 3247616
325 324 3251712
259 258 3256832
343 342 3260928
46 45 3266048
345 344 3274752
497 496 3287552
3 2 3297280
302 301 3305984
89 88 3315200
454 453 3318784
259 258 3337216
46 45 3346432
345 344 3355136
282 281 3363328
3 2 3377664
87 86 3381760
472 471 3385344
302 301 3386368
89 88 3395584
259 258 3417600
343 342 3421696
46 45 3426816
411 410 3430400
345 344 3435520
282 281 3443712
497 496 3448320
3 2 3458048
87 86 3462144
302 301 3466752
89 88 3475968
259 258 3497984
343 342 3502080
46 45 3507200
411 410 3510784
345 344 3515904
282 281 3524096
497 496 3528704
3 2 3538432
87 86 3542528
302 301 3547136
239 238 3555328
89 88 3556352
83 82 3560960
325 324 3573248
259 258 3578368
343 342 3582464
46 45 3587584
345 344 3596288
282 281 3604480
497 496 3609088
3 2 3618816
87 86 3622912
302 301 3627520
259 258 3658752
46 45 3667968
511 0 3675136
345 344 3676672
3 2 3699200
87 86 3703296
302 301 3707904
113 112 3709952
89 88 3717120
325 324 3734016
259 258 3739136
343 342 3743232
46 45 3748352
411 410 3751936
345 344 3757056
497 496 3769856
3 2 3779584
302 301 3788288
89 88 3797504
259 258 3819520
343 342 3823616
46 45 3828736
411 410 3832320
345 344 3837440
282 281 3845632
497 496 3850240
3 2 3859968
302 301 3868672
89 88 3877888
454 453 3881472
325 324 3894784
259 258 3899904
15 14 3908096
46 45 3909120
345 344 3917824
497 496 3930624
3 2 3940352
368 367 3943936
209 208 3945984
302 301 3949056
508 507 3954688
89 88 3958272
259 258 3980288
343 342 3984384
46 45 3989504
411 410 3993088
345 344 3998208
497 496 4011008
3 2 4020736
136 135 4023296
87 86 4024832
302 301 4029440
259 258 4037632
89 88 4038656
454 453 4042240
325 324 4055552
345 344 4055552
259 258 4060672
343 342 4064768
46 45 4069888
411 410 4073472
345 344 4078592
282 281 4086784
497 496 4091392
3 2 4101120
15 14 4103168
302 301 4109824
89 88 4119040
496 495 4124672
283 282 4133888
259 258 4141056
343 342 4145152
46 45 4150272
511 0 4157440
345 344 4158976
156 155 4161024
282 281 4167168
3 2 4181504
87 86 4185600
302 301 4190208
424 423 4191744
307 306 4195840
89 88 4199424
83 82 4204032
94 93 4205056
325 324 4216320
259 258 4221440
343 342 4225536
216 215 4229632
46 45 4230656
411 410 4234240
511 0 4237824
345 344 4239360
266 265 4240896
282 281 4247552
497 496 4252160
89 88 4256768
3 2 4261888
87 86 4265984
302 301 4270592
175 174 4274688
89 88 4279808
454 453 4283392
261 260 4292608
325 324 4296704
259 258 4301824
301 300 4303872
343 342 4305920
154 153 4307968
46 45 4311040
411 410 4314624
345 344 4319744
144 143 4331008
497 496 4332544
27 26 4335104
3 2 4342272
368 367 4345856
302 301 4350976
508 507 4356608
89 88 4360192
295 294 4365824
199 198 4370944
477 476 4378624
259 258 4382208
343 342 4386304
46 45 4391424
252 251 4397056
511 0 4398592
345 344 4400128
39 38 4406272
497 496 4412928
173 172 4421632
3 2 4422656
87 86 4426752
302 301 4431360
89 88 4440576
211 210 4442112
454 453 4444160
510 509 4450816
393 392 4454912
325 324 4457472
259 258 4462592
180 179 4464128
46 45 4471808
479 478 4472832
345 344 4480512
282 281 4488704
497 496 4493312
3 2 4503040
87 86 4507136
302 301 4511744
89 88 4520960
259 258 4542976
343 342 4547072
46 45 4552192
411 410 4555776
345 344 4560896
282 281 4569088
255 254 4572672
497 496 4573696
484 483 4581888
3 2 4583424
368 367 4587008
302 301 4592128
239 238 4600320
89 88 4601344
454 453 4604928
357 356 4609024
259 258 4623360
343 342 4627456
326 325 4631040
46 45 4632576
113 112 4640256
345 344 4641280
17 16 4645376
497 496 4654080
3 2 4663808
87 86 4667904
302 301 4672512
89 88 4681728
259 258 4703744
343 342 4707840
46 45 4712960
345 344 4721664
3 2 4744192
87 86 4748288
302 301 4752896
89 88 4762112
454 453 4765696
259 258 4784128
343 342 4788224
46 45 4793344
314 313 4801024
345 344 4802048
497 496 4814848
400 399 4818944
283 282 4823040
3 2 4824576
87 86 4828672
302 301 4833280
89 88 4842496
472 471 4855296
325 324 4859392
259 258 4864512
343 342 4868608
46 45 4873728
345 344 4882432
3 2 4904960
87 86 4909056
302 301 4913664
89 88 4922880
325 324 4939776
259 258 4944896
343 342 4948992
46 45 4954112
345 344 4962816
282 281 4971008
3 2 4985344
87 86 4989440
302 301 4994048
89 88 5003264
454 453 5006848
325 324 5020160
259 258 5025280
343 342 5029376
46 45 5034496
345 344 5043200
3 2 5065728
87 86 5069824
302 301 5074432
89 88 5083648
10 9 5085184
259 258 5105664
46 45 5114880
345 344 5123584
497 496 5136384
3 2 5146112
87 86 5150208
302 301 5154816
89 88 5164032
259 258 5186048
343 342 5190144
46 45 5195264
345 344 5203968
497 496 5216768
3 2 5226496
87 86 5230592
302 301 5235200
89 88 5244416
429 428 5265408
259 258 5266432
46 45 5275648
411 410 5279232
345 344 5284352
282 281 5292544
497 496 5297152
3 2 5306880
87 86 5310976
302 301 5315584
89 88 5324800
454 453 5328384
259 258 5346816
343 342 5350912
46 45 5356032
345 344 5364736
282 281 5372928
3 2 5387264
87 86 5391360
302 301 5395968
89 88 5405184
511 510 5416448
259 258 5427200
46 45 5436416
411 410 5440000
511 0 5443584
345 344 5445120
3 2 5467648
87 86 5471744
302 301 5476352
89 88 5485568
46 45 5493760
259 258 5507584
343 342 5511680
46 45 5516800
411 410 5520384
345 344 5525504
497 496 5538304
3 2 5548032
87 86 5552128
302 301 5556736
89 88 5565952
399 398 5575680
259 258 5587968
46 45 5597184
345 344 5605888
282 281 5614080
497 496 5618688
400 399 5622784
283 282 5626880
3 2 5628416
87 86 5632512
302 301 5637120
239 238 5645312
89 88 5646336
259 258 5668352
46 45 5677568
345 344 5686272
282 281 5694464
497 496 5699072
3 2 5708800
302 301 5717504
89 88 5726720
325 324 5743616
259 258 5748736
343 342 5752832
46 45 5757952
511 0 5765120
345 344 5766656
282 281 5774848
3 2 5789184
368 367 5792768
302 301 5797888
89 88 5807104
259 258 5829120
343 342 5833216
46 45 5838336
411 410 5841920
345 344 5847040
282 281 5855232
497 496 5859840
3 2 5869568
87 86 5873664
302 301 5878272
239 238 5886464
89 88 5887488
454 453 5891072
259 258 5909504
343 342 5913600
46 45 5918720
345 344 5927424
497 496 5940224
3 2 5949952
302 301 5958656
89 88 5967872
325 324 5984768
259 258 5989888
343 342 5993984
46 45 5999104
511 0 6006272
345 344 6007808
282 281 6016000
497 496 6020608
3 2 6030336
87 86 6034432
302 301 6039040
89 88 6048256
325 324 6065152
259 258 6070272
343 342 6074368
46 45 6079488
411 410 6083072
345 344 6088192
3 2 6110720
87 86 6114816
302 301 6119424
89 88 6128640
454 453 6132224
325 324 6145536
345 344 6145536
259 258 6150656
343 342 6154752
46 45 6159872
345 344 6168576
497 496 6181376
3 2 6191104
87 86 6195200
302 301 6199808
89 88 6209024
325 324 6225920
259 258 6231040
343 342 6235136
46 45 6240256
345 344 6248960
