time(ms), acc X, acc Y, acc Z, gyro X, gyro Y, gyro Z, mag X, mag Y, mag Z, alt(m), lat, lon
37364, 200, 849, -954, 58, -9, 0, -348, -1053, 2422, 205.121627808, 0, 0
37411, 193, 856, -937, 262, -147, -113, -347, -1065, 2410, 205.132095337, 0, 0
37455, 162, 828, -955, 265, -235, -397, -345, -1101, 2423, 205.146514893, 0, 0
37501, 185, 859, -1058, 206, -120, -169, -306, -1065, 2425, 205.153335571, 0, 0
37545, 156, 763, -948, 322, 1586, -1299, -378, -1064, 2428, 205.16960144, 0, 0
37625, 181, 831, -961, -81, 331, 109, -246, -1041, 2449, 205.184005737, 0, 0
37671, 173, 842, -945, 368, -310, 15, -260, -1083, 2430, 205.197784424, 0, 0
37716, 163, 864, -972, 443, -790, 599, -367, -1061, 2423, 205.199783325, 0, 0
37762, 189, 837, -931, 256, -515, 382, -330, -1138, 2415, 205.204605103, 0, 0
37807, 188, 857, -1016, 44, 28, 382, -323, -1080, 2414, 205.200210571, 0, 0
37853, 189, 835, -960, 486, -58, 119, -354, -1115, 2426, 205.192764282, 0, 0
37897, 180, 865, -970, 447, 116, 221, -296, -1106, 2421, 205.194122314, 0, 0
37944, 178, 851, -943, 295, -31, -43, -347, -1075, 2415, 205.183624268, 0, 0
37987, 179, 847, -942, -1, 54, -9, -287, -1050, 2422, 205.183486938, 0, 0
38031, 174, 849, -929, -7, 131, -314, -316, -1105, 2413, 205.177566528, 0, 0
38114, 190, 866, -913, -524, -552, 182, -358, -1077, 2392, 205.178070068, 0, 0
38158, 225, 887, -951, -1272, -1224, -50, -407, -1064, 2382, 205.180908203, 0, 0
38201, 190, 889, -927, -616, -679, -613, -232, -1100, 2361, 205.154312134, 0, 0
38249, 195, 868, -921, -766, -597, -486, -348, -1144, 2348, 205.152496338, 0, 0
38292, 223, 861, -945, -39, -57, 42, -352, -1149, 2339, 205.147003174, 0, 0
38339, 185, 825, -955, 971, 199, 417, -323, -1116, 2356, 205.144836426, 0, 0
38383, 171, 918, -950, 2141, -277, 982, -357, -1130, 2372, 205.128540039, 0, 0
38427, 182, 978, -816, 2458, 2036, 1671, -382, -1026, 2382, 205.101699829, 0, 0
38469, 207, 924, -956, -712, 71, 3, -351, -1122, 2382, 205.101593018, 0, 0
38517, 174, 857, -955, -1592, -492, -1677, -312, -1104, 2356, 205.091842651, 0, 0
38558, 210, 885, -718, -1941, 10, -625, -386, -1157, 2351, 205.081359863, 0, 0
38630, 193, 870, -922, -381, 972, -460, -324, -1290, 2220, 205.068954468, 0, 0
38664, 234, 850, -950, -171, 1362, 8, -406, -1160, 2362, 205.071655273, 0, 0
38701, 208, 838, -950, -42, 1053, -526, -381, -1139, 2365, 205.079711914, 0, 0
38741, 202, 856, -954, 488, 985, -195, -298, -1088, 2378, 205.090744019, 0, 0
38777, 216, 842, -948, 388, 697, 127, -407, -1071, 2373, 205.095428467, 0, 0
38811, 188, 823, -958, 56, 306, -92, -355, -1116, 2403, 205.104949951, 0, 0
38852, 210, 870, -943, 190, 254, 80, -385, -1114, 2380, 205.10949707, 0, 0
38887, 230, 859, -950, 85, 72, 160, -396, -1086, 2400, 205.12159729, 0, 0
38920, 186, 844, -963, 220, 204, -139, -328, -1056, 2400, 205.124969482, 0, 0
38958, 198, 832, -962, 338, 285, 77, -340, -1085, 2411, 205.136611938, 0, 0
38992, 234, 859, -940, 217, 54, 238, -421, -1069, 2421, 205.147583008, 0, 0
39063, 199, 838, -959, 314, 204, -109, -407, -1063, 2403, 205.15524292, 0, 0
39099, 209, 849, -965, 315, 131, -12, -399, -1045, 2433, 205.135955811, 0, 0
39133, 228, 828, -953, 115, -25, 284, -343, -1081, 2422, 205.130935669, 0, 0
39169, 228, 848, -968, 491, -91, 42, -315, -1097, 2415, 205.143295288, 0, 0
39203, 192, 868, -940, 721, -209, -11, -372, -1046, 2406, 205.135299683, 0, 0
39239, 104, 811, -967, 2333, -2435, 538, -355, -1083, 2417, 205.14050293, 0, 0
39273, 181, 938, -833, 2631, -1519, 1426, -307, -1108, 2410, 205.143859863, 0, 0
39312, 249, 860, -991, 394, -813, 977, -321, -1111, 2410, 205.155212402, 0, 0
39347, 135, 833, -930, 610, 18, -532, -346, -1073, 2392, 205.155822754, 0, 0
39359, 116, 820, -941, 1189, 231, -465, -345, -1055, 2430, 205.150527954, 0, 0
39457, 171, 878, -928, 151, 1154, -15, -354, -1034, 2455, 205.147583008, 0, 0
39499, 210, 870, -967, -1726, 2208, -241, -348, -1234, 2464, 205.148834229, 0, 0
39543, 169, 799, -931, -108, 1415, -700, -324, -1075, 2438, 205.153747559, 0, 0
39588, 227, 862, -974, -455, 1082, 0, -320, -1086, 2466, 205.164245605, 0, 0
39635, 174, 798, -988, -346, 265, -207, -282, -1052, 2476, 205.157653809, 0, 0
39680, 167, 826, -988, 245, 203, 49, -322, -999, 2467, 205.149017334, 0, 0
39730, 181, 820, -962, -118, 179, 235, -377, -1069, 2486, 205.159317017, 0, 0
39776, 162, 829, -979, 147, 75, -100, -297, -1045, 2462, 205.164428711, 0, 0
39826, 201, 823, -971, -193, -286, -28, -374, -1052, 2498, 205.170349121, 0, 0
39870, 178, 835, -971, -48, -42, 21, -384, -1014, 2468, 205.166381836, 0, 0
39916, 167, 808, -987, 80, -128, 99, -325, -1040, 2484, 205.167404175, 0, 0
39967, 204, 862, -986, -71, -481, 126, -326, -1032, 2475, 205.171432495, 0, 0
40014, 176, 829, -940, 142, -345, -19, -384, -1072, 2443, 205.170547485, 0, 0
40057, 201, 833, -969, -117, -183, -194, -337, -1077, 2458, 205.160736084, 0, 0
40104, 176, 837, -985, 272, -265, 105, -330, -1050, 2444, 205.138290405, 0, 0
40148, 195, 852, -947, 352, 9, 118, -356, -1093, 2471, 205.130630493, 0, 0
40194, 182, 835, -978, 219, -99, -86, -323, -1076, 2420, 205.118743896, 0, 0
40238, 175, 839, -954, 219, -172, -15, -383, -1025, 2437, 205.112579346, 0, 0
40285, 197, 861, -965, 144, -7, 87, -312, -1069, 2420, 205.102890015, 0, 0
40328, 193, 854, -959, 243, -79, -129, -302, -1038, 2438, 205.093170166, 0, 0
40375, 197, 857, -953, 245, -18, -101, -338, -1090, 2429, 205.083389282, 0, 0
40419, 194, 849, -936, 124, 20, 22, -340, -1103, 2439, 205.083206177, 0, 0
40465, 189, 838, -978, 223, -2, -72, -363, -1047, 2436, 205.077423096, 0, 0
40509, 179, 851, -931, 199, 112, 43, -313, -1086, 2432, 205.085418701, 0, 0
40556, 190, 846, -958, 117, 8, 61, -330, -1117, 2429, 205.081787109, 0, 0
40600, 191, 852, -956, 124, 83, 49, -337, -1071, 2435, 205.084197998, 0, 0
40650, 196, 849, -936, 169, 52, -72, -376, -1095, 2458, 205.086151123, 0, 0
40699, 186, 858, -961, 178, -25, 2, -323, -1121, 2414, 205.082382202, 0, 0
40745, 175, 853, -959, 115, 75, -8, -326, -1086, 2419, 205.077178955, 0, 0
40790, 188, 851, -943, 223, 10, 16, -293, -1086, 2432, 205.063537598, 0, 0
40837, 197, 845, -957, 154, 31, -104, -347, -1105, 2416, 205.071273804, 0, 0
40881, 182, 848, -942, 116, -72, 48, -320, -1087, 2423, 205.07824707, 0, 0
40927, 195, 847, -934, 260, 167, -119, -292, -1069, 2409, 205.088439941, 0, 0
40972, 159, 848, -960, 184, 50, -38, -330, -1088, 2434, 205.091430664, 0, 0
41018, 194, 859, -945, 106, -136, 189, -346, -1112, 2407, 205.086776733, 0, 0
41062, 153, 834, -941, 275, -61, -71, -311, -1086, 2431, 205.096389771, 0, 0
41106, 138, 796, -953, 872, -324, 290, -332, -1103, 2417, 205.109848022, 0, 0
41150, 183, 932, -851, 1604, -935, 1160, -289, -1087, 2425, 205.117507935, 0, 0
41193, 163, 838, -927, 144, -2394, -53, -324, -1090, 2403, 205.136611938, 0, 0
41240, 239, 911, -938, -550, -82, 478, -282, -1118, 2380, 205.144302368, 0, 0
41281, 124, 861, -954, 623, 440, -505, -298, -1080, 2399, 205.153427124, 0, 0
41331, 190, 864, -934, 934, 281, 477, -342, -1084, 2416, 205.16796875, 0, 0
41377, 174, 894, -907, 1018, 337, 395, -261, -1056, 2407, 205.180160522, 0, 0
41421, 154, 870, -955, 113, -10, -173, -282, -1170, 2412, 205.181976318, 0, 0
41463, 156, 881, -918, 390, 258, -26, -332, -1125, 2430, 205.191055298, 0, 0
41509, 163, 883, -947, -261, 300, -348, -355, -1125, 2415, 205.194107056, 0, 0
41553, 178, 890, -923, 72, -99, 182, -249, -1055, 2439, 205.195388794, 0, 0
41598, 149, 863, -928, 72, -51, -214, -359, -1038, 2404, 205.192871094, 0, 0
41642, 190, 891, -917, -1, 208, 146, -300, -1083, 2451, 205.181243896, 0, 0
41688, 146, 843, -950, 372, 242, -97, -303, -1083, 2425, 205.198242188, 0, 0
41734, 177, 884, -924, 97, 114, 198, -297, -1090, 2441, 205.194885254, 0, 0
41779, 122, 847, -944, 190, 157, -53, -305, -1117, 2417, 205.198196411, 0, 0
41823, 179, 883, -950, 46, -69, 107, -354, -1105, 2434, 205.189086914, 0, 0
41869, 133, 846, -922, 158, -47, 26, -272, -1090, 2420, 205.17767334, 0, 0
41913, 174, 898, -945, 158, 42, 20, -303, -1154, 2435, 205.180892944, 0, 0
41962, 150, 846, -924, 82, 43, -73, -320, -1080, 2417, 205.19708252, 0, 0
42005, 158, 888, -930, 144, 136, -84, -311, -1095, 2440, 205.203994751, 0, 0
42050, 143, 872, -947, 90, -27, 57, -334, -1107, 2422, 205.202178955, 0, 0
42095, 174, 888, -928, 179, -20, 101, -315, -1158, 2406, 205.204162598, 0, 0
42140, 144, 863, -926, 185, 95, -152, -362, -1087, 2411, 205.213363647, 0, 0
42185, 165, 873, -931, 220, 24, 172, -309, -1119, 2406, 205.216705322, 0, 0
