
2351;-2545;1882;
2327;-2548;1889;
2339;-2540;1883;
2322;-2569;1886;
2333;-2579;1876;
2342;-2584;1878;
2336;-2566;1887;
2336;-2561;1891;
2320;-2543;1885;
2330;-2570;1905;
2322;-2551;1910;
2323;-2549;1922;
2328;-2559;1900;
2334;-2537;1919;
2334;-2537;1919;
2324;-2549;1921;
2329;-2571;1940;
2346;-2540;1927;
2336;-2545;1944;
2327;-2550;1936;
2343;-2508;1946;
2332;-2528;1938;
2312;-2511;1943;
2328;-2517;1953;
2331;-2522;1965;
2324;-2543;1949;
2308;-2525;1972;
2330;-2520;1965;
2306;-2514;1975;
2332;-2538;1968;
2310;-2515;1973;
2319;-2493;1973;
2294;-2515;1974;
2326;-2512;1981;
2285;-2505;1996;
2308;-2500;1995;
2280;-2496;2000;
2293;-2516;1984;
2290;-2497;2002;
2293;-2531;1994;
2269;-2491;1988;
2288;-2511;1980;
2274;-2494;1995;
2290;-2515;1975;
2289;-2524;1966;
2308;-2554;1953;
2315;-2544;1944;
2310;-2587;1933;
2305;-2545;1911;
2324;-2555;1918;
2311;-2551;1907;
2311;-2576;1907;
2314;-2570;1903;
2327;-2599;1890;
2339;-2580;1871;
2330;-2605;1860;
2329;-2590;1835;
2319;-2569;1821;
2334;-2574;1814;
2324;-2619;1809;
2314;-2624;1798;
2333;-2647;1795;
2314;-2634;1802;
2306;-2625;1806;
2296;-2653;1791;
2333;-2631;1800;
2333;-2633;1788;
2325;-2643;1772;
2346;-2628;1735;
2349;-2656;1742;
2332;-2663;1728;
2368;-2663;1724;
2351;-2676;1682;
2343;-2657;1688;
2343;-2657;1688;
2342;-2685;1671;
2345;-2667;1677;
2371;-2658;1654;
2348;-2680;1668;
2344;-2701;1666;
2338;-2661;1661;
2355;-2703;1651;
2316;-2724;1667;
2334;-2714;1648;
2317;-2702;1648;
2318;-2721;1621;
2315;-2736;1631;
2306;-2734;1625;
2287;-2768;1623;
2308;-2767;1628;
2279;-2727;1627;
2311;-2747;1634;
2294;-2759;1618;
2273;-2771;1601;
2273;-2750;1609;
2304;-2758;1582;
2278;-2783;1571;
2293;-2753;1556;
2272;-2792;1568;
2275;-2775;1569;
2264;-2790;1585;
2275;-2798;1585;
2251;-2785;1593;
2255;-2795;1593;
2283;-2764;1600;
2258;-2769;1612;
2271;-2757;1626;
2278;-2729;1616;
2294;-2727;1610;
2320;-2738;1589;
2365;-2719;1575;
2407;-2708;1558;
2449;-2651;1548;
2487;-2655;1532;
2549;-2633;1529;
2571;-2611;1535;
2619;-2549;1515;
2703;-2507;1519;
2706;-2456;1505;
2773;-2434;1506;
2833;-2349;1483;
2889;-2294;1486;
2941;-2200;1467;
3016;-2141;1461;
3085;-2063;1413;
3154;-1951;1401;
