9;-67;1381;-0.10;-0.99;0.08;-0.06;0.06;-0.04;-0.99;0.40;-0.20;0.95;
0;-65;1386;-0.10;-0.99;0.08;-0.06;0.06;-0.04;-1.00;0.41;-0.20;0.96;
-4;-58;1384;-0.10;-0.99;0.08;-0.06;0.06;-0.05;-0.99;0.40;-0.21;0.96;
0;-55;1377;-0.10;-0.99;0.08;-0.06;0.05;-0.04;-0.99;0.40;-0.21;0.96;
13;-55;1387;-0.10;-0.99;0.09;-0.06;0.05;-0.03;-1.00;0.40;-0.19;0.96;
13;-58;1380;-0.10;-0.99;0.09;-0.06;0.06;-0.03;-0.99;0.40;-0.20;0.95;
12;-74;1380;-0.10;-0.99;0.09;-0.06;0.07;-0.03;-0.99;0.40;-0.20;0.96;
1;-53;1388;-0.10;-0.99;0.09;-0.06;0.05;-0.04;-1.00;0.40;-0.20;0.96;
12;-60;1360;-0.10;-0.99;0.09;-0.06;0.06;-0.03;-0.98;0.41;-0.20;0.96;
5;-62;1368;-0.10;-0.99;0.09;-0.06;0.06;-0.04;-0.98;0.40;-0.20;0.95;
6;-60;1388;-0.10;-0.99;0.09;-0.06;0.06;-0.04;-1.00;0.40;-0.20;0.96;
9;-61;1390;-0.10;-0.99;0.09;-0.06;0.06;-0.04;-1.00;0.40;-0.21;0.96;
13;-58;1375;-0.10;-0.99;0.09;-0.06;0.06;-0.03;-0.99;0.41;-0.19;0.96;
14;-70;1384;-0.10;-0.99;0.09;-0.06;0.06;-0.03;-0.99;0.40;-0.20;0.96;
2;-63;1391;-0.10;-0.99;0.09;-0.06;0.06;-0.04;-1.00;0.41;-0.19;0.96;
8;-66;1396;-0.10;-0.99;0.09;-0.06;0.06;-0.04;-1.00;0.41;-0.20;0.96;
14;-58;1385;-0.10;-0.99;0.09;-0.06;0.06;-0.03;-1.00;0.41;-0.20;0.96;
5;-49;1376;-0.10;-0.99;0.09;-0.06;0.05;-0.04;-0.99;0.40;-0.20;0.95;
-3;-63;1383;-0.10;-0.99;0.09;-0.06;0.06;-0.04;-0.99;0.41;-0.20;0.96;
15;-48;1375;-0.10;-0.99;0.09;-0.06;0.05;-0.03;-0.99;0.40;-0.21;0.96;
7;-60;1383;-0.09;-0.99;0.09;-0.06;0.06;-0.04;-0.99;0.40;-0.19;0.96;
0;-58;1380;-0.09;-0.99;0.09;-0.06;0.06;-0.04;-0.99;0.41;-0.21;0.96;
16;-56;1376;-0.09;-0.99;0.09;-0.06;0.05;-0.03;-0.99;0.40;-0.19;0.96;
6;-62;1398;-0.09;-0.99;0.10;-0.06;0.06;-0.04;-1.00;0.40;-0.21;0.96;
4;-62;1396;-0.09;-0.99;0.10;-0.06;0.06;-0.04;-1.00;0.40;-0.20;0.96;
16;-60;1386;-0.09;-0.99;0.10;-0.06;0.06;-0.03;-1.00;0.41;-0.20;0.95;
2;-65;1385;-0.09;-0.99;0.10;-0.06;0.06;-0.04;-1.00;0.41;-0.19;0.96;
4;-66;1376;-0.09;-0.99;0.10;-0.06;0.06;-0.04;-0.99;0.41;-0.20;0.96;
11;-55;1376;-0.09;-0.99;0.10;-0.06;0.05;-0.03;-0.99;0.41;-0.20;0.95;
14;-60;1390;-0.09;-0.99;0.10;-0.06;0.06;-0.03;-1.00;0.41;-0.20;0.95;
7;-65;1371;-0.09;-0.99;0.10;-0.06;0.06;-0.04;-0.99;0.41;-0.20;0.96;
6;-64;1397;-0.09;-0.99;0.10;-0.06;0.06;-0.04;-1.00;0.40;-0.21;0.96;
