509;3624;1396;
503;3589;1429;
518;3630;1377;
526;3600;1432;
508;3622;1387;
512;3586;1440;
515;3618;1361;
517;3598;1427;
517;3628;1386;
516;3559;1429;
503;3616;1347;
515;3592;1400;
511;3636;1386;
511;3380;1427;
516;3581;1427;
513;3623;1364;
523;3593;1426;
532;3617;1398;
528;3597;1401;
524;3625;1392;
549;3594;1415;
533;3600;1407;
529;3617;1423;
525;3601;1404;
540;3593;1398;
540;3618;1421;
534;3599;1431;
537;3582;1424;
545;3600;1434;
555;3596;1417;
540;3600;1435;
556;3614;1442;
555;3611;1426;
521;3606;1441;
555;3606;1430;
560;3598;1441;
534;3599;1433;
555;3591;1454;
527;3620;1419;
532;3596;1439;
541;3606;1414;
543;3591;1437;
543;3606;1404;
533;3599;1403;
538;3605;1409;
531;3618;1447;
544;3615;1429;
549;3602;1463;
556;3635;1425;
550;3606;1454;
539;3605;1418;
557;3596;1460;
570;3605;1428;
554;3591;1468;
562;3597;1432;
543;3607;1431;
549;3595;1426;
545;3588;1460;
528;3619;1393;
537;3574;1431;
542;3642;1406;
527;3609;1450;
549;3621;1381;
562;3577;1450;
539;3605;1387;
525;3602;1456;
538;3638;1400;
554;3607;1409;
540;3625;1396;
534;3599;1425;
541;3636;1365;
540;3574;1413;
537;3625;1402;
561;3587;1439;
546;3639;1396;
558;3610;1460;
553;3628;1407;
557;3591;1448;
569;3625;1409;
555;3609;1441;
555;3639;1434;
544;3604;1451;
551;3624;1425;
543;3602;1439;
536;3609;1445;
532;3603;1427;
551;3625;1419;
565;3618;1447;
544;3606;1443;
544;3606;1443;
557;3619;1458;
544;3620;1411;
578;3601;1435;
542;3645;1432;
554;3642;1432;
556;3612;1429;
557;3627;1403;
561;3619;1430;
545;3641;1433;
552;3607;1439;
559;3617;1419;
543;3618;1400;
558;3620;1422;
550;3615;1429;
561;3614;1419;
543;3608;1440;
550;3618;1422;
539;3614;1419;
560;3617;1415;
556;3629;1436;
558;3633;1428;
538;3620;1435;
565;3608;1421;
551;3617;1439;
560;3624;1407;
549;3589;1436;
550;3618;1448;
544;3593;1480;
535;3625;1463;
524;3588;1503;
524;3620;1448;
541;3607;1453;
537;3619;1472;
534;3596;1456;
539;3637;1444;
554;3608;1492;
541;3632;1461;
560;3598;1474;
570;3618;1448;
550;3599;1447;
564;3624;1433;
567;3610;1467;
563;3625;1440;
556;3588;1476;
540;3618;1401;
562;3589;1451;
546;3593;1440;
551;3597;1459;
556;3632;1440;
528;3628;1448;
530;3637;1401;
534;3609;1436;
530;3618;1395;
515;3594;1385;
505;3635;1348;
513;3622;1352;
499;3636;1310;
501;3627;1329;
513;3634;1307;
510;3641;1299;
502;3639;1282;
497;3647;1247;
509;3630;1288;
507;3637;1251;
491;3605;1243;
491;3638;1221;
508;3620;1248;
495;3630;1205;
502;3623;1215;
479;3657;1177;
481;3650;1208;
491;3631;1170;
476;3604;1159;
496;3616;1136;
478;3625;1138;
478;3632;1129;
480;3632;1129;
485;3631;1132;
485;3654;1076;
484;3631;1166;
479;3652;1111;
477;3620;1139;
468;3637;1091;
447;3619;1145;
462;3674;1088;
458;3637;1112;
468;3650;1104;
460;3624;1158;
458;3650;1118;
439;3610;1154;
445;3653;1118;
442;3607;1168;
423;3653;1112;
453;3611;1150;
453;3658;1106;
436;3625;1154;
440;3655;1093;
451;3603;1154;
440;3641;1080;
439;3629;1152;
449;3662;1102;
445;3631;1141;
430;3641;1098;
451;3613;1148;
440;3646;1060;
432;3622;1129;
429;3667;1074;
436;3623;1106;
427;3634;1060;
467;3635;1054;
435;3637;1051;
440;3632;1077;
450;3636;1032;
452;3621;1068;
447;3647;1028;
453;3644;1065;
452;3642;1020;
455;3639;1036;
448;3636;984;
448;3612;1030;
462;3626;992;
461;3637;993;
451;3637;1026;
451;3644;1017;
469;3639;1000;
462;3648;970;
455;3633;1016;
474;3634;1007;
461;3638;1029;
468;3629;991;
464;3608;1026;
475;3647;981;
459;3618;1014;
442;3641;984;
470;3615;1026;
461;3625;996;
459;3636;1017;
455;3650;984;
470;3624;1006;
457;3628;951;
462;3616;976;
461;3648;976;
440;3606;1033;
454;3641;970;
467;3608;1013;
458;3634;962;
458;3634;1025;
466;3627;1025;
473;3671;976;
456;3623;1008;
457;3632;968;
472;3614;995;
454;3660;963;
479;3626;1019;
469;3638;968;
459;3614;987;
457;3640;972;
461;3616;1001;
454;3647;949;
451;3640;1013;
471;3646;973;
477;3625;1024;
470;3652;972;
446;3611;956;
470;3642;948;
493;3619;968;
460;3636;965;
439;3623;998;
448;3629;914;
441;3609;985;
449;3643;959;
464;3642;1003;
429;3635;953;
458;3621;974;
473;3631;936;
455;3626;983;
448;3632;940;
450;3656;973;
456;3639;961;
440;3649;975;
444;3628;954;
453;3647;939;
449;3647;958;
426;3652;959;
435;3635;963;
427;3622;949;
446;3629;959;
436;3638;945;
421;3627;980;
437;3623;948;
438;3625;977;
421;3637;952;
431;3622;954;
435;3648;912;
445;3620;980;
455;3643;952;
444;3616;947;
443;3642;906;
446;3622;989;
431;3649;960;
433;3639;973;
447;3639;937;
434;3605;986;
424;3626;950;
447;3624;973;
438;3645;918;
444;3594;981;
458;3648;939;
450;3620;970;
442;3653;923;
449;3622;975;
447;3635;935;
435;3616;979;
452;3658;917;
452;3658;917;
471;3611;976;
449;3635;923;
442;3619;977;
429;3643;937;
433;3603;988;
431;3656;924;
454;3621;988;
431;3641;933;
437;3622;979;
444;3638;949;
457;3622;993;
452;3657;919;
426;3629;995;
403;3641;901;
438;3623;984;
452;3645;934;
